player_id,W,L,SV,ERA,G,GS,IP,HA,R,ER,HR,BB,K,WHIP,OAVG,BABIP,BF,FIP,K/9,BB/9,HR/9
19524,8,10,0,6.31,32,32,167.0,215,129,117,35,58,142,1.63,0.3,0.334,774.0,5.27,7.7,3.1,1.9
20154,10,5,0,4.06,36,36,204.0,203,101,92,21,61,194,1.29,0.249,0.303,876.0,3.53,8.6,2.7,0.9
20407,5,1,1,3.44,48,0,89.0,73,35,34,12,58,124,1.47,0.215,0.299,398.0,4.12,12.5,5.9,1.2
20657,2,1,1,4.36,32,0,66.0,57,34,32,12,35,92,1.39,0.224,0.298,290.0,4.37,12.5,4.8,1.6
20867,8,11,0,4.38,32,32,152.0,154,78,74,21,77,161,1.52,0.252,0.311,687.0,4.4,9.5,4.6,1.2
20874,3,7,3,4.96,47,0,69.0,63,38,38,8,32,65,1.38,0.233,0.279,302.0,4.21,8.5,4.2,1.0
21040,18,6,0,3.19,33,33,226.0,199,88,80,21,60,240,1.15,0.227,0.289,937.0,3.08,9.6,2.4,0.8
21150,2,2,0,5.03,33,0,48.3,41,28,27,7,30,55,1.47,0.22,0.274,216.0,4.67,10.2,5.6,1.3
21152,4,4,0,3.91,63,0,94.3,98,49,41,8,45,84,1.52,0.257,0.311,426.0,3.95,8.0,4.3,0.8
21263,4,2,1,5.74,37,0,58.0,71,39,37,17,21,65,1.59,0.29,0.331,266.0,5.86,10.1,3.3,2.6
21417,15,8,0,3.44,33,33,214.7,193,85,82,18,73,230,1.24,0.231,0.297,910.0,3.17,9.6,3.1,0.8
21453,18,8,0,3.71,35,35,206.3,163,92,85,22,54,239,1.05,0.208,0.271,836.0,3.05,10.4,2.4,1.0
21482,2,3,45,1.35,60,0,60.0,33,10,9,6,22,92,0.92,0.155,0.235,235.0,2.53,13.8,3.3,0.9
21793,4,2,1,2.67,66,0,84.3,78,28,25,6,33,93,1.32,0.236,0.31,364.0,3.09,9.9,3.5,0.6
21894,2,2,6,5.14,45,0,89.3,83,53,51,6,58,94,1.58,0.236,0.307,409.0,3.92,9.5,5.8,0.6
22051,14,11,0,5.22,32,32,196.7,256,118,114,19,40,116,1.51,0.303,0.333,886.0,3.89,5.3,1.8,0.9
22311,2,7,47,2.76,65,0,62.0,45,23,19,9,18,88,1.02,0.195,0.269,249.0,3.12,12.8,2.6,1.3
22354,18,8,0,4.75,35,35,216.0,235,119,114,20,79,254,1.45,0.266,0.353,962.0,3.15,10.6,3.3,0.8
22450,9,1,3,3.63,50,0,69.3,66,31,28,8,26,62,1.33,0.241,0.284,300.0,4.04,8.1,3.4,1.0
22465,3,2,2,4.63,45,0,44.7,52,23,23,7,19,42,1.59,0.28,0.328,205.0,4.63,8.5,3.8,1.4
22946,3,3,40,2.95,56,0,55.0,34,19,18,7,24,65,1.05,0.171,0.213,223.0,3.8,10.6,3.9,1.1
23128,0,1,3,5.5,37,0,52.3,73,33,32,7,18,50,1.74,0.317,0.382,248.0,4.06,8.6,3.1,1.2
23182,0,0,0,0.0,1,0,1.3,1,0,0,0,1,2,1.5,0.2,0.333,6.0,2.43,13.8,6.9,0.0
23190,12,11,0,4.18,32,32,204.3,202,99,95,28,70,153,1.33,0.248,0.274,885.0,4.51,6.7,3.1,1.2
23270,15,6,0,3.97,31,31,190.3,184,85,84,19,54,171,1.25,0.244,0.292,809.0,3.55,8.1,2.6,0.9
23360,5,2,2,3.7,38,0,56.0,59,27,23,11,12,77,1.27,0.26,0.345,239.0,3.65,12.4,1.9,1.8
23420,11,9,0,4.37,31,31,187.3,194,96,91,28,54,165,1.32,0.257,0.295,810.0,4.25,7.9,2.6,1.3
23436,4,2,49,2.13,72,0,63.3,41,16,15,5,12,79,0.84,0.177,0.245,243.0,2.3,11.2,1.7,0.7
23577,17,10,0,2.9,34,34,241.7,247,86,78,20,34,262,1.16,0.254,0.329,1006.0,2.53,9.8,1.3,0.7
23689,17,8,0,4.02,33,33,221.7,204,107,99,23,63,228,1.2,0.235,0.293,932.0,3.34,9.3,2.6,0.9
23730,1,4,1,4.2,58,0,85.7,93,42,40,9,28,103,1.41,0.266,0.353,378.0,3.14,10.8,2.9,0.9
23739,6,2,4,4.4,48,0,71.7,77,36,35,8,26,62,1.44,0.264,0.311,318.0,4.01,7.8,3.3,1.0
23776,9,6,2,4.96,64,0,78.0,88,47,43,11,25,106,1.45,0.273,0.376,347.0,3.28,12.2,2.9,1.3
23779,1,2,1,3.86,38,0,77.0,83,34,33,11,20,66,1.34,0.264,0.304,334.0,4.12,7.7,2.3,1.3
23823,6,2,2,4.14,51,0,74.0,58,38,34,5,50,103,1.46,0.207,0.308,330.0,3.32,12.5,6.1,0.6
